Date,Open,High,Low,Close,Volume,SMA20,SMA50,Daily_Return
2024-06-10,184.0,186.5,181.55999755859375,182.16000366210938,33163473,,,
2024-06-11,182.60000610351562,186.0,180.10000610351562,184.02000427246094,41803815,,,1.021080683442288
2024-06-12,184.38999938964844,184.8800048828125,179.3300018310547,179.64999389648438,42830411,,,-2.3747474592524798
2024-06-13,183.8000030517578,185.8000030517578,180.14999389648438,184.94000244140625,47891484,,,2.9446193847187274
2024-06-14,185.6999969482422,186.60000610351562,184.0500030517578,186.24000549316406,29823712,,,0.7029323210751448
2024-06-18,187.5,189.10000610351562,184.8000030517578,188.61000061035156,40633379,,,1.2725488870727553
2024-06-19,190.0,201.0,189.55999755859375,198.49000549316406,112274897,,,5.238325036233649
2024-06-20,199.99000549316406,201.8000030517578,195.0,197.0500030517578,44395214,,,-0.725478563934967
2024-06-21,197.89999389648438,199.9499969482422,193.0500030517578,193.9499969482422,37841138,,,-1.5732078434433583
2024-06-24,193.89999389648438,199.8000030517578,191.9499969482422,198.9199981689453,34201378,,,2.5625167821113237
2024-06-25,201.75,204.6999969482422,200.0,202.27000427246094,60670560,,,1.6840971920130565
2024-06-26,202.55999755859375,203.47999572753906,196.0,197.25,38934432,,,-2.481833275535461
2024-06-27,198.1999969482422,201.5,196.0,200.14999389648438,32535933,,,1.4702123683064006
2024-06-28,201.3000030517578,203.9199981689453,199.10000610351562,200.55999755859375,37287397,,,0.20484820115529434
2024-07-01,199.7100067138672,204.5,194.55999755859375,203.97000122070312,53536850,,,1.7002411765153491
2024-07-02,204.0,209.83999633789062,202.25,209.08999633789062,65698266,,,2.5101706557561165
2024-07-03,209.4499969482422,213.9499969482422,205.3300018310547,208.44000244140625,61479249,,,-0.3108680031893907
2024-07-04,208.38999938964844,210.2899932861328,206.6999969482422,207.44000244140625,30004307,,,-0.479754360145479
2024-07-05,207.0,208.39999389648438,204.77000427246094,207.57000732421875,29681228,,,0.06267107659199134
2024-07-08,208.25,210.0,206.0,207.92999267578125,18260120,196.93500061035155,,0.17342840432637008
2024-07-09,207.8000030517578,214.0,206.61000061035156,212.55999755859375,39312576,198.4550003051758,,2.226713339057307
2024-07-10,213.0,213.38999938964844,205.74000549316406,211.3699951171875,29852043,199.8224998474121,,-0.5598430819882871
2024-07-11,211.47000122070312,218.9499969482422,211.3699951171875,217.13999938964844,45769091,201.6970001220703,,2.7298123696610554
2024-07-12,219.0,223.25,217.0500030517578,222.47000122070312,45580868,203.57350006103516,,2.4546384111801656
2024-07-15,225.0,232.0,225.0,229.14999389648438,51203051,205.71899948120117,,3.002648734268809
2024-07-16,230.0,230.35000610351562,215.3000030517578,217.49000549316406,44681031,207.1629997253418,,-5.088365138070905
2024-07-18,217.75,221.39999389648438,210.25,220.6199951171875,58537673,208.26949920654297,,1.439141820299339
2024-07-19,217.99000549316406,220.49000549316406,213.6699981689453,218.88999938964844,39257871,209.3614990234375,,-0.7841518293118188
2024-07-22,214.0,222.19000244140625,214.0,221.66000366210938,33701488,210.74699935913085,,1.2654777651719185
2024-07-23,222.5,223.72000122070312,207.0,217.91000366210938,36589825,211.69649963378907,,-1.6917801759655182
2024-07-24,217.85000610351562,225.5,215.60000610351562,223.49000549316406,32358784,212.75749969482422,,2.5606909904453135
2024-07-25,221.0,223.97000122070312,216.9499969482422,219.30999755859375,26124437,213.8604995727539,,-1.870333273000957
2024-07-26,219.0,226.6199951171875,216.85000610351562,224.6199951171875,35693966,215.08399963378906,,2.421229135792169
2024-07-29,226.6199951171875,229.4600067138672,224.10000610351562,226.88999938964844,40644424,216.4004997253418,,1.0105975967440672
2024-07-30,226.9499969482422,231.1999969482422,225.11000061035156,227.1300048828125,39378466,217.55849990844726,,0.10578055172536516
2024-07-31,227.61000061035156,230.13999938964844,226.0500030517578,229.4499969482422,25009969,218.57649993896484,,1.0214379498766357
2024-08-01,231.0,238.0,228.0,234.08999633789062,87888742,219.85899963378907,,2.022226825609885
2024-08-02,244.5,278.70001220703125,243.0,262.3399963378906,389060620,222.60399932861327,,12.068008219891357
2024-08-05,254.0,265.54998779296875,249.0,256.2900085449219,156106218,225.03999938964844,,-2.3061629478626777
2024-08-06,265.8999938964844,275.0,247.1999969482422,249.0800018310547,143459602,227.0974998474121,,-2.813221925740206
2024-08-07,261.5299987792969,267.6000061035156,251.80999755859375,265.6700134277344,127379201,229.75300064086915,,6.660515286141799
2024-08-08,265.0,267.5,260.0,265.5899963378906,57917059,232.4640007019043,,-0.030118976850779244
2024-08-09,267.7300109863281,272.8999938964844,265.54998779296875,267.0899963378906,52601958,234.9615005493164,,0.5647803082506453
2024-08-12,263.5,266.489990234375,261.3500061035156,263.42999267578125,33514964,237.0095001220703,,-1.3703259995852424
2024-08-13,265.0,265.3999938964844,256.0,257.0799865722656,26127109,238.40599975585937,,-2.4105099191689017
2024-08-14,260.29998779296875,264.5,255.5,260.1400146484375,41735068,240.53850021362305,,1.190301943364891
2024-08-16,260.70001220703125,266.20001220703125,257.010009765625,264.42999267578125,42932761,242.72900009155273,,1.6491034772721846
2024-08-19,278.0,280.8999938964844,261.0,262.1700134277344,80435895,244.89300079345702,,-0.8546607081814095
2024-08-20,262.0,264.45001220703125,258.25,263.1199951171875,132396556,246.96600036621095,,0.362353297782847
2024-08-21,263.1199951171875,264.45001220703125,259.0,260.0299987792969,38605742,249.0720001220703,222.18800018310546,-1.1743677391429008
2024-08-22,264.0,267.0,256.010009765625,257.9599914550781,73893288,250.795499420166,223.70399993896484,-0.7960648132662951
2024-08-23,260.4100036621094,269.8999938964844,258.30999755859375,262.6499938964844,102220794,252.96249923706054,225.27659973144532,1.8181123417438938
2024-08-26,263.79998779296875,264.4200134277344,258.1000061035156,259.3900146484375,36184864,254.70100021362305,226.87140014648438,-1.241187635181018
2024-08-27,260.75,261.3999938964844,255.39999389648438,256.04998779296875,31816706,256.15899963378905,228.29359985351562,-1.2876466582553814
2024-08-28,257.0,257.739990234375,252.14999389648438,253.0399932861328,28603253,257.4544990539551,229.629599609375,-1.1755495607637778
2024-08-29,254.77999877929688,256.3500061035156,248.50999450683594,252.33999633789062,37767471,258.5989990234375,230.90419952392577,-0.276634906265838
2024-08-30,253.5,255.4499969482422,248.80999755859375,250.52999877929688,50157287,259.42099914550784,231.94499938964844,-0.7172852440602062
2024-09-02,252.0,252.3000030517578,241.85000610351562,244.4499969482422,55833057,258.52649917602537,232.89299926757812,-2.4268558099546533
2024-09-03,246.75,252.9499969482422,245.39999389648438,247.6999969482422,66538683,258.0969985961914,233.96799926757814,1.3295152548879363
2024-09-04,244.4499969482422,245.0,240.39999389648438,242.85000610351562,58762234,257.78549880981444,234.84659942626953,-1.9580100542915924
2024-09-05,248.0500030517578,261.6000061035156,246.0,254.85000610351562,115627516,257.2444984436035,235.89819946289063,4.941321679392896
2024-09-06,255.0,262.1499938964844,254.25,259.95001220703125,75700809,256.96249923706057,237.15219970703126,2.001179510054274
2024-09-09,260.0,265.0,256.29998779296875,263.20001220703125,58534619,256.76800003051756,238.4132000732422,1.2502403721418531
2024-09-10,265.8500061035156,270.29998779296875,259.54998779296875,267.70001220703125,68658961,256.98150100708006,239.75600036621094,1.7097263644730853
2024-09-11,268.25,281.5,268.1000061035156,271.75,121883781,257.7150016784668,241.11160034179687,1.5128829317484715
2024-09-12,276.29998779296875,286.0,274.29998779296875,283.8999938964844,101691858,258.90300064086915,242.60780029296876,4.471018913149716
2024-09-13,285.3999938964844,286.45001220703125,271.1000061035156,272.8999938964844,82150759,259.3265007019043,243.89700012207032,-3.8746038170084707
2024-09-16,274.5,282.0,269.20001220703125,277.70001220703125,47792145,260.10300064086914,245.3022003173828,1.7588927877981497
2024-09-17,277.6499938964844,278.0,270.0,270.75,33515464,260.48450088500977,246.56580017089843,-2.50270504196084
2024-09-18,270.6499938964844,277.8500061035156,269.8999938964844,275.8500061035156,30225926,261.2755012512207,247.92420043945313,1.8836587639947
2024-09-19,276.5,280.95001220703125,272.25,278.8500061035156,48225291,262.32000198364256,249.25000061035155,1.0875475561433312
2024-09-20,279.0,293.0,278.95001220703125,290.5,84416068,263.71250228881837,250.83260070800782,4.177871128379906
2024-09-23,292.0,298.25,290.54998779296875,297.0,48761823,265.5930015563965,252.42980072021484,2.2375215146299476
2024-09-24,298.0,298.0,290.25,291.70001220703125,40844804,267.3755027770996,253.8144009399414,-1.7845076744002486
2024-09-25,291.79998779296875,291.8500061035156,283.04998779296875,285.3999938964844,47685746,268.9935028076172,254.9394009399414,-2.159759357869173
2024-09-26,285.3999938964844,285.8999938964844,278.5,283.8999938964844,39057810,270.5715026855469,256.2676007080078,-0.5255781471894649
2024-09-27,275.3999938964844,286.8999938964844,273.5,278.1499938964844,58812631,271.95250244140624,257.41820068359374,-2.025361086163524
2024-09-30,277.8999938964844,277.8999938964844,272.45001220703125,273.29998779296875,40976919,273.3950019836426,258.50640045166017,-1.7436657235090913
2024-10-01,272.54998779296875,276.45001220703125,271.29998779296875,274.1499938964844,32110540,274.7175018310547,259.55620025634767,0.31101578539385333
2024-10-03,269.70001220703125,272.45001220703125,268.0,269.0,40791499,276.0250015258789,260.5780001831055,-1.8785314649428564
2024-10-04,267.0,277.8500061035156,264.1000061035156,275.29998779296875,59102827,277.04750061035156,261.61419982910155,2.342002897014406
2024-10-07,278.54998779296875,279.0,261.6000061035156,266.1000061035156,51381672,277.3550003051758,262.55,-3.3418024327598994
2024-10-08,266.0,280.8999938964844,262.6000061035156,278.70001220703125,68958719,278.13000030517577,263.63160034179685,4.735064191849014
2024-10-09,279.0,290.0,275.3500061035156,279.95001220703125,62967866,278.7425003051758,264.6928005981445,0.448510924022294
2024-10-10,280.5,282.45001220703125,274.1000061035156,275.3500061035156,38904819,278.92250061035156,265.6572006225586,-1.6431526711682354
2024-10-11,276.3999938964844,279.0,275.5,277.54998779296875,17126335,278.6050003051758,266.61920043945315,0.7989764447748238
2024-10-14,280.8999938964844,285.25,278.0,280.04998779296875,45217362,278.9625,267.5384002685547,0.9007386452723587
2024-10-15,283.0,283.0,276.1000061035156,279.54998779296875,23988729,279.05499877929685,267.8826000976562,-0.17853955429186774
2024-10-16,279.0,279.3999938964844,273.0,274.25,20872032,279.22999877929686,268.24179992675784,-1.8958998477559774
2024-10-17,275.0,275.1499938964844,268.6000061035156,270.54998779296875,25228600,278.96499786376955,268.67119964599607,-1.3491384528828587
2024-10-18,256.8999938964844,270.29998779296875,255.25,257.45001220703125,108015952,277.89499816894534,268.50679962158205,-4.841979736462565
2024-10-21,258.0,267.0,254.5,265.70001220703125,88316113,276.6549987792969,268.50899993896485,3.2045055773257003
2024-10-22,267.0,270.8999938964844,252.75,256.3500061035156,69963412,274.6224990844727,268.29420013427733,-3.5190085336654686
2024-10-23,256.3500061035156,268.0,242.10000610351562,264.04998779296875,161602998,273.23999786376953,268.3066000366211,3.0036986565718404
2024-10-24,267.20001220703125,268.3999938964844,252.5500030517578,254.3000030517578,60352258,271.6849983215332,268.2510003662109,-3.6924768763312743
2024-10-25,256.0,257.95001220703125,246.5,253.8000030517578,66829144,270.17999877929685,268.1242001342773,-0.19661816515913477
2024-10-28,252.0,259.25,247.10000610351562,253.9499969482422,41028381,268.9699989318848,267.91460021972654,0.05909924928322319
2024-10-29,254.9499969482422,255.89999389648438,248.4499969482422,252.25,30238688,267.9174995422363,267.71619995117186,-0.66942192111491
2024-10-30,249.14999389648438,250.5,245.0500030517578,246.85000610351562,48399791,266.55250015258787,267.39080017089844,-2.1407309797757734
2024-10-31,248.0,248.8000030517578,240.39999389648438,241.75,36737366,265.1900001525879,267.0252001953125,-2.0660344247174
2024-11-01,244.39999389648438,250.0,244.14999389648438,248.99000549316406,13009914,263.87450103759767,266.8458004760742,2.9948316414329046
2024-11-04,242.92999267578125,246.99000549316406,240.0,245.0800018310547,49186567,262.8235008239746,266.4944006347656,-1.5703456266708327
2024-11-05,244.0,246.35000610351562,239.4499969482422,241.8699951171875,42081056,260.98199996948244,266.1440002441406,-1.3097791292167482
2024-11-06,243.3000030517578,256.1400146484375,243.3000030517578,254.94000244140625,61727658,259.7314994812012,266.1218005371094,5.403732413309981
2024-11-07,257.0,262.45001220703125,254.0,255.22000122070312,56967827,258.72499923706056,266.16540069580077,0.10982928399447811
2024-11-08,256.20001220703125,258.1199951171875,245.89999389648438,248.72999572753906,48676279,257.28399963378905,266.09320068359375,-2.5429063012784026
2024-11-11,244.75,259.5,244.0,258.6199951171875,43972581,256.2125,266.25500061035154,3.9761989142966137
2024-11-12,259.95001220703125,264.8999938964844,255.3000030517578,260.989990234375,50975031,255.2845001220703,266.5858004760742,0.916400573015852
2024-11-13,258.0799865722656,263.42999267578125,254.52999877929688,258.3999938964844,61475328,254.49199981689452,266.79980041503904,-0.9923738207602284
2024-11-14,261.5,271.0,260.70001220703125,269.6600036621094,84971093,254.44750061035157,267.33600036621095,4.357589021513597
2024-11-18,274.29998779296875,274.3999938964844,269.3599853515625,270.7900085449219,59799056,255.1145004272461,267.65480041503906,0.41904801137229164
2024-11-19,271.94000244140625,272.70001220703125,267.6600036621094,271.3599853515625,42992794,255.39749908447266,267.8829998779297,0.21048664598202205
2024-11-21,273.70001220703125,275.489990234375,262.1099853515625,266.80999755859375,57742968,255.92049865722657,267.95519958496095,-1.6767349788414765
2024-11-22,266.79998779296875,268.989990234375,262.54998779296875,264.20001220703125,26626294,255.9279998779297,267.88519958496096,-0.9782187232280637
2024-11-25,273.25,284.3399963378906,271.1700134277344,273.30999755859375,119525837,256.8784996032715,267.9163995361328,3.4481396406688125
2024-11-26,273.79998779296875,281.1400146484375,272.6099853515625,280.1099853515625,48373365,258.1939987182617,267.84059936523437,2.488012825623387
2024-11-27,281.0,289.70001220703125,278.760009765625,284.7200012207031,66635986,259.7324989318848,268.0769995117187,1.6457877656002262
2024-11-28,285.6000061035156,288.25,281.42999267578125,286.1300048828125,49584020,261.4264991760254,268.2455993652344,0.49522466144427124
2024-11-29,285.0,287.489990234375,273.6199951171875,279.760009765625,73433199,263.07199935913087,268.42579956054686,-2.2262590460571885
2024-12-02,281.8999938964844,285.70001220703125,280.45001220703125,282.5,35170688,265.10949935913084,268.55879943847657,0.9794073987452689
2024-12-03,279.70001220703125,282.3500061035156,279.0,279.8500061035156,30078648,266.6524993896484,268.57879943847655,-0.938050936808632
2024-12-04,283.0,288.0,283.0,286.25,45520598,268.7109992980957,268.4937994384766,2.286937200965089
2024-12-05,288.25,304.6499938964844,286.8500061035156,299.3500061035156,102148528,271.5849998474121,268.5407995605469,4.5764213462063275
2024-12-06,300.0,303.8999938964844,296.25,302.95001220703125,49309068,273.98550033569336,268.7657995605469,1.2026076599680247
2024-12-09,304.70001220703125,304.70001220703125,291.79998779296875,295.29998779296875,51131895,275.98949966430666,268.96379943847654,-2.5251771268570145
2024-12-10,296.75,299.45001220703125,295.0,295.8500061035156,31333039,278.34550018310546,269.2027996826172,0.1862574782537596
2024-12-11,290.0,294.29998779296875,288.6000061035156,291.79998779296875,39053928,280.0044998168945,269.4757995605469,-1.3689431221880044
2024-12-12,291.79998779296875,295.0,284.1000061035156,284.8999938964844,38405304,281.2,269.7077996826172,-2.3646313177298373
2024-12-13,279.0,288.95001220703125,278.20001220703125,288.25,47302705,282.69250030517577,269.9897998046875,1.1758533433780416
2024-12-16,289.0,295.8999938964844,286.54998779296875,294.1499938964844,31320679,283.91699981689453,270.4927996826172,2.046832227748263
2024-12-17,295.5,303.45001220703125,292.29998779296875,296.79998779296875,72724924,285.2174987792969,270.9227996826172,0.9008988446271848
2024-12-18,297.70001220703125,297.70001220703125,290.0,291.8999938964844,28348122,286.24449920654297,271.43879943847656,-1.650941407687101
2024-12-19,288.04998779296875,290.20001220703125,284.70001220703125,288.5,31350637,287.3289993286133,271.6347991943359,-1.16478039314043
2024-12-20,290.0,290.5,274.20001220703125,282.1000061035156,271472990,288.2239990234375,271.6777990722656,-2.218368768278811
2024-12-23,273.8999938964844,282.8999938964844,272.0,273.95001220703125,74588008,288.25599975585936,271.6497991943359,-2.889044211326164
2024-12-24,274.5,277.0,269.1000061035156,274.8500061035156,37011994,287.99300079345704,271.5957995605469,0.32852486088017496
2024-12-26,276.6000061035156,276.79998779296875,271.25,273.20001220703125,26031760,287.41700134277346,271.45880004882815,-0.600325217334341
2024-12-27,274.8999938964844,275.8999938964844,269.75,271.25,18997843,286.6730010986328,271.29280029296876,-0.7137672474017087
2024-12-30,271.25,291.6000061035156,269.79998779296875,282.1000061035156,143568542,286.79000091552734,271.4498004150391,4.000002250144008
2024-12-31,278.0,281.6000061035156,275.0,278.04998779296875,31925776,286.56750030517577,271.59980041503906,-1.4356675728183887
2025-01-01,279.0,279.1000061035156,276.0,276.5,14417581,286.4,271.9808001708984,-0.5574493296230054
2025-01-02,277.8999938964844,286.0,276.0,284.6000061035156,27949423,286.31750030517577,272.35880004882813,2.929477795123181
2025-01-03,285.0,285.0,271.5,272.8500061035156,48244937,284.9925003051758,272.6888000488281,-4.128601457487758
2025-01-06,274.5,274.79998779296875,262.20001220703125,264.8500061035156,52254616,283.0875,272.7048004150391,-2.9320138614784996
2025-01-07,256.95001220703125,259.20001220703125,251.0,252.4499969482422,115216965,280.9450004577637,272.66780029296876,-4.681898761379277
2025-01-08,251.6999969482422,252.75,244.35000610351562,250.0500030517578,57146621,278.6550003051758,272.5928002929688,-0.9506808974041769
2025-01-09,251.60000610351562,252.5500030517578,244.5500030517578,245.35000610351562,49569418,276.33250122070314,272.4208004760742,-1.8796228317858987
2025-01-10,244.89999389648438,246.39999389648438,237.4499969482422,242.9499969482422,53817888,274.235001373291,272.23480041503905,-0.978198123321361
